,Address,Address Latitude,Address Longitude,Venue,Venue Distance,Venue Latitude,Venue Longitude,Venue Category
116,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Eggspectation Bell Trinity Square,1131,43.65314383888587,-79.38198016678167,Breakfast Spot
117,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Danish Pastry House,1073,43.654574,-79.38074,Bakery
118,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Apple Eaton Centre,1022,43.6529455,-79.3806448,Electronics Store
119,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,ODIN Cafe + Bar,1103,43.656738544928054,-79.35650305267754,Café
120,"254A Monarch Park Ave Toronto, ON",43.686375,-79.328918,The Wren,440,43.6824674097841,-79.32807925839526,American Restaurant
121,"254A Monarch Park Ave Toronto, ON",43.686375,-79.328918,Rendez-Vous Restaurant Bar & Cafe,437,43.68257026831632,-79.32754382523993,Ethiopian Restaurant
122,"254A Monarch Park Ave Toronto, ON",43.686375,-79.328918,Red Rocket Coffee,450,43.68234009057258,-79.3285298526357,Café
123,"254A Monarch Park Ave Toronto, ON",43.686375,-79.328918,Starbucks,464,43.682379,-79.327249,Coffee Shop
124,"254A Monarch Park Ave Toronto, ON",43.686375,-79.328918,Morgan's on the Danforth,493,43.682044330949324,-79.33025531659852,Gastropub
125,"254A Monarch Park Ave Toronto, ON",43.686375,-79.328918,East York Farmers' Market,458,43.69048245471865,-79.3285094702114,Farmers Market
